Conventions,G,BADC-CSV,1,,,,,,,,,,,,,,,,,,
04/01/1980 23:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 23:59,DCNN,1280,24,1,DRADR35,163,2001,2189,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 00:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 01:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 02:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 03:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 04:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 05:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 06:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 07:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 08:00,DCNN,1280,1,1,MODLERAD,163,2001,14,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 09:00,DCNN,1280,1,1,MODLERAD,163,2001,101,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 10:00,DCNN,1280,1,1,MODLERAD,163,2001,450,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 11:00,DCNN,1280,1,1,MODLERAD,163,2001,745,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 12:00,DCNN,1280,1,1,MODLERAD,163,2001,500,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 13:00,DCNN,1280,1,1,MODLERAD,163,2001,364,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 14:00,DCNN,1280,1,1,MODLERAD,163,2001,122,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 15:00,DCNN,1280,1,1,MODLERAD,163,2001,25,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 16:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 17:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 18:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 19:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 20:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 21:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 22:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 23:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
05/01/1980 23:59,DCNN,1280,24,1,DRADR35,163,2001,2322,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 00:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 01:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 02:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 03:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 04:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 05:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 06:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 07:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 08:00,DCNN,1280,1,1,MODLERAD,163,2001,7,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 09:00,DCNN,1280,1,1,MODLERAD,163,2001,50,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 10:00,DCNN,1280,1,1,MODLERAD,163,2001,144,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 11:00,DCNN,1280,1,1,MODLERAD,163,2001,205,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 12:00,DCNN,1280,1,1,MODLERAD,163,2001,202,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 13:00,DCNN,1280,1,1,MODLERAD,163,2001,61,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 14:00,DCNN,1280,1,1,MODLERAD,163,2001,43,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 15:00,DCNN,1280,1,1,MODLERAD,163,2001,7,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 16:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 17:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 18:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 19:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 20:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 21:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 22:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 23:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
06/01/1980 23:59,DCNN,1280,24,1,DRADR35,163,2001,720,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
07/01/1980 00:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
